Symbol,Strategy,TF,Evals,BUY,SELL,Profit_Acc,Profit_Rej,Risk_Acc,Risk_Rej
BNBUSDT,supertrend,15m,5560,55,47,38,17,38,0
BNBUSDT,ml,15m,5560,0,0,0,0,0,0
BNBUSDT,supertrend,1h,1240,12,7,12,0,12,0
BNBUSDT,swing,4h,160,0,0,0,0,0,0
BNBUSDT,adx_ema,4h,160,0,0,0,0,0,0
BTCUSDT,supertrend,15m,5560,44,42,28,16,28,0
BTCUSDT,ml,15m,5560,0,0,0,0,0,0
BTCUSDT,supertrend,1h,1240,6,6,6,0,6,0
BTCUSDT,swing,4h,160,1,0,0,1,0,0
BTCUSDT,adx_ema,4h,160,0,1,0,0,0,0
ETHUSDT,supertrend,15m,5560,47,36,40,7,40,0
ETHUSDT,ml,15m,5560,0,0,0,0,0,0
ETHUSDT,supertrend,1h,1240,11,6,10,1,10,0
ETHUSDT,swing,4h,160,2,0,0,2,0,0
ETHUSDT,adx_ema,4h,160,0,0,0,0,0,0
TRXUSDT,supertrend,15m,5560,44,31,3,41,3,0
TRXUSDT,ml,15m,5560,0,0,0,0,0,0
TRXUSDT,supertrend,1h,1240,10,8,7,3,7,0
TRXUSDT,swing,4h,160,2,1,0,2,0,0
TRXUSDT,adx_ema,4h,160,0,1,0,0,0,0
ADAUSDT,supertrend,15m,5560,40,48,40,0,40,0
ADAUSDT,ml,15m,5560,0,0,0,0,0,0
ADAUSDT,supertrend,1h,1240,4,7,4,0,4,0
ADAUSDT,swing,4h,160,0,0,0,0,0,0
ADAUSDT,adx_ema,4h,160,1,0,1,0,1,0
LINKUSDT,supertrend,15m,5560,44,43,43,1,43,0
LINKUSDT,ml,15m,5560,0,0,0,0,0,0
LINKUSDT,supertrend,1h,1240,13,7,13,0,13,0
LINKUSDT,swing,4h,160,3,1,2,1,2,0
LINKUSDT,adx_ema,4h,160,0,0,0,0,0,0
DOGEUSDT,supertrend,15m,5560,35,50,31,4,31,0
DOGEUSDT,ml,15m,5560,0,0,0,0,0,0
DOGEUSDT,supertrend,1h,1240,8,10,8,0,8,0
DOGEUSDT,swing,4h,160,0,4,0,0,0,0
DOGEUSDT,adx_ema,4h,160,0,0,0,0,0,0
SOLUSDT,supertrend,15m,5560,43,48,43,0,43,0
SOLUSDT,ml,15m,5560,0,0,0,0,0,0
SOLUSDT,supertrend,1h,1240,7,8,7,0,7,0
SOLUSDT,swing,4h,160,1,1,0,1,0,0
SOLUSDT,adx_ema,4h,160,1,1,1,0,1,0
PAXGUSDT,supertrend,15m,5560,56,44,11,45,11,0
PAXGUSDT,ml,15m,5560,0,0,0,0,0,0
PAXGUSDT,supertrend,1h,1240,6,8,6,0,6,0
PAXGUSDT,swing,4h,160,1,2,0,1,0,0
PAXGUSDT,adx_ema,4h,160,0,0,0,0,0,0
PORTALUSDT,supertrend,15m,5560,45,60,45,0,45,0
PORTALUSDT,ml,15m,5560,0,0,0,0,0,0
PORTALUSDT,supertrend,1h,1240,2,10,2,0,2,0
PORTALUSDT,swing,4h,160,0,0,0,0,0,0
PORTALUSDT,adx_ema,4h,160,1,1,1,0,1,0
SOPHUSDT,supertrend,15m,5560,37,63,37,0,37,0
SOPHUSDT,ml,15m,5560,0,0,0,0,0,0
SOPHUSDT,supertrend,1h,1240,1,11,1,0,1,0
SOPHUSDT,swing,4h,160,0,1,0,0,0,0
SOPHUSDT,adx_ema,4h,160,0,1,0,0,0,0
HEMIUSDT,supertrend,15m,5560,33,49,33,0,33,0
HEMIUSDT,ml,15m,5560,0,0,0,0,0,0
HEMIUSDT,supertrend,1h,1240,3,8,3,0,3,0
HEMIUSDT,swing,4h,160,1,1,1,0,1,0
HEMIUSDT,adx_ema,4h,160,1,1,1,0,1,0
SPCXBUSDT,supertrend,15m,5560,29,53,27,2,27,0
SPCXBUSDT,ml,15m,5560,0,0,0,0,0,0
SPCXBUSDT,supertrend,1h,1240,7,8,7,0,7,0
SPCXBUSDT,swing,4h,160,0,1,0,0,0,0
SPCXBUSDT,adx_ema,4h,160,0,0,0,0,0,0
